8111,840
6638,3074
7132,431
12875,12130
6936,3696
7199,524
1828,1430
5967,3650
11316,11251
8466,2406
13375,11742
12568,11634
13392,11821
8311,640
8173,6939
9470,6469
7593,1638
7989,6060
10116,6954
11603,5560
8050,748
11545,2061
6854,3468
8327,512
3252,484
13939,12542
13921,10536
2167,1477
6995,545
7095,429
6025,3428
11797,11429
6756,3663
13735,13521
9910,6896
13876,13209
8069,3076
2136,1303
13821,13139
1906,504
11390,2446
11913,11784
13022,11748
13900,13095
13179,11742
12812,12514
2732,1402
12084,12018
11058,2100
13446,12327
12055,11404
8103,7746
11616,3963
1836,1446
11615,4444
11375,1891
7079,444
14094,11020
11891,11748
9447,3086
7076,541
8734,6930
13010,11858
6952,3679
11175,2034
14144,10779
11622,4115
3251,431
12314,11713
8352,490
11949,11843
8903,1896
14077,10703
11276,2574
6950,3124
8236,675
11609,4980
13715,11947
7050,623
6859,3542
13257,12114
6856,3429
2721,1202
12462,11742
10714,7724
14294,13697
8671,2536
13718,12944
11946,11791
6884,3696
8325,1115
7181,434
12441,11771
8137,1991
6259,41
12777,11961
13978,12941
8249,814
13951,13216
7026,752
14046,10671
1746,471
10468,6898
14152,11993
428,242
8033,2820
7036,1717
13661,13010
11588,1866
13457,11877
12346,11279
1837,1384
7033,683
11720,6991
8697,2894
11545,2219
14245,13450
1853,533
11192,2201
11602,3945
12875,12132
11154,2260
7144,517
3252,698
13228,11993
11617,11161
3182,442
11663,11199
1964,1258
13658,13444
14009,13431
2123,1035
13384,11897
8293,6939
11604,3886
11604,4115
11907,11793
11605,4805
1819,1002
6864,2661
11735,7163
7113,517
12337,12055
13139,12820
2009,444
6938,3665
2009,518
12495,11634
11062,2476
11544,2210
1989,1233
12195,10993
11061,2586
2207,1218
1842,1196
9927,5938
11248,2595
11391,1870
13951,12167
14313,13121
12057,11540
7096,522
2009,445
13790,12975
2205,521
12936,12896
7167,577
6868,3419
11373,2409
7101,424
12153,11991
12046,11331
13914,12155
8338,590
14260,13826
9525,6930
1826,1394
11991,11413
1935,1204
1777,471
8635,1976
11278,11118
11240,2070
11847,7079
456,408
7006,1091
8009,569
8503,2205
12839,11397
10971,8095
6069,3663
11751,11418
7032,942
8057,578
6818,3380
11108,2448
12027,11115
1848,1467
13828,13475
11891,11721
8047,491
9795,6585
8745,6905
11112,2440
2072,1370
11643,11260
11556,2321
14144,12230
6011,9
1966,1375
9441,3733
11146,1850
13807,13313
8563,2720
1931,1447
11764,11397
11605,4155
7404,448
2150,471
2262,908
11592,2503
2179,469
2068,642
1832,1427
11337,11199
13247,11714
10991,2288
13743,13124
2083,451
6980,3690
13327,11616
7217,517
11612,11605
7240,510
7051,459
13204,13176
11615,4582
8267,3087
8126,6883
3047,495
11502,2436
8960,2125
11605,3920
11253,1829
6352,495
6223,3467
11982,11269
8175,6845
12081,11108
7006,436
11392,2674
2732,1268
9395,3074
11010,2509
1826,1053
1941,662
14046,12027
7292,590
11147,2249
11370,7217
7054,433
13392,11880
3113,428
11112,1887
3101,1532
11544,2458
11129,2241
11588,2642
13757,13327
12553,11499
12169,11461
2125,1265
8764,1769
14226,14128
12197,12100
11605,4073
5793,3457
11850,7098
12413,12246
8211,863
12019,11370
6923,3435
11759,11537
13360,11370
14144,11552
9338,1826
14073,11518
11125,1983
7986,6077
7268,510
7051,451
13433,11522
13603,13217
5964,3683
14040,12801
8046,569
11418,11327
9569,7674
7030,427
13038,9519
13572,11182
14111,13169
12656,12617
14072,10697
7958,497
8560,1800
13450,13329
8792,2106
3113,427
8107,434
11609,3777
13882,12519
11189,2086
13263,11518
1831,1407
13419,13181
11696,11551
7005,530
11310,2608
13477,13127
11398,11120
12664,12327
7124,427
7004,550
11935,6235
11899,11734
8957,2203
13450,11922
13347,12409
1829,878
11762,7101
13962,11696
5809,3417
12854,9292
7211,1561
8088,3216
2161,1332
8094,2121
8431,1968
1949,1397
14093,12025
11765,7054
6953,3585
12654,11118
14068,11927
5965,3101
12481,12406
12130,11510
8238,6002
8173,498
13219,12624
6938,3568
2738,1021
7000,517
8324,3727
5790,2712
8098,608
12836,12334
11897,11798
439,119
6915,3284
11373,2052
13658,11927
13237,11831
12442,8749
11143,2227
11128,2349
1962,879
8972,1925
12819,12057
12056,11435
7104,466
8758,2988
6909,456
1962,1100
1779,1219
8137,1784
1814,1291
11896,11456
13429,13398
6895,3717
6995,453
1769,505
13856,13476
8926,6145
13296,11730
11331,11121
11562,1911
7109,718
13914,13761
1788,774
13346,11896
7547,1624
6952,3687
14120,14073
6912,3451
8721,1916
12132,11745
13727,13443
11249,11209
13914,11458
2068,1233
1940,879
11791,9936
6867,3482
11143,1794
1982,1238
11671,6992
1886,1380
2734,1232
8093,487
13355,12409
11615,3818
9026,6851
13262,11983
12892,11658
8061,763
11616,3979
8293,6348
1925,1195
1925,1319
11146,2267
7044,806
5964,3639
12975,12819
7182,633
2197,1478
12587,12413
12866,9308
7052,522
13715,11775
12320,11056
13603,12120
12518,11643
8069,6372
12900,11640
11036,2281
11372,11316
1805,559
13951,13794
11486,2101
7047,449
11668,11191
13259,12296
13625,12722
7030,447
1826,541
12324,11668
9739,6005
13746,12115
6899,3435
7997,630
1834,1212
13093,9585
3074,444
13319,12866
11331,10975
11668,11299
11614,3890
2207,1415
13883,13163
12572,11236
1829,1224
8032,6983
11605,3988
13853,11347
13723,11939
13947,12590
11595,2126
8356,5796
6933,3557
13379,11658
8992,1819
1845,1311
5965,3651
7503,442
3101,463
11235,2185
8065,2977
7977,494
11708,7108
14065,13130
2056,998
9935,5966
11611,4626
5801,1
