hsa-mir-372-5p,0,1,hsa-miR-596,#N/A,
hsa-mir-301a-5p,0,1,hsa-miR-600,#N/A,
hsa-mir-574-5p,0,1,hsa-miR-601,#N/A,
hsa-mir-27b-5p,0,1,hsa-miR-602,#N/A,
hsa-mir-494-5p,0,1,hsa-miR-608,#N/A,
hsa-mir-129-2-3p,0,1,hsa-miR-611,#N/A,
hsa-mir-433-5p,0,1,hsa-miR-612,#N/A,
hsa-mir-376a-5p,0,1,hsa-miR-615,#N/A,
hsa-mir-410-5p,0,1,hsa-miR-622,#N/A,
hsa-mir-885-5p,0,1,hsa-miR-629,#N/A,
hsa-mir-345-5p,0,1,hsa-miR-637,#N/A,
hsa-mir-1301-5p,0,1,hsa-miR-638,#N/A,
hsa-mir-490-5p,0,1,hsa-miR-642,#N/A,
hsa-mir-1275,0,1,hsa-miR-654,#N/A,
hsa-mir-212-5p,0,1,hsa-miR-657,#N/A,
hsa-mir-520b-5p,0,1,hsa-miR-658,#N/A,
hsa-mir-188-5p,0,1,hsa-miR-662,#N/A,
hsa-mir-187-5p,0,1,hsa-miR-663,#N/A,
hsa-mir-202-5p,0,1,hsa-miR-769-3p,#N/A,
hsa-mir-92b-5p,0,1,hsa-miR-92b,#N/A,
hsa-mir-520d-5p,0,1,hsa-miR-137,#N/A,
hsa-mir-942-5p,0,1,hsa-miR-137,#N/A,
hsa-mir-542-5p,0,1,hsa-miR-137,hsa-miR-542-5p,dbdemc
hsa-mir-509-5p,0,1,hsa-miR-137,#N/A,
hsa-mir-511-5p,0,1,hsa-miR-137,#N/A,
hsa-mir-939-5p,0,1,hsa-miR-138,#N/A,
hsa-mir-1307-5p,0,1,hsa-miR-138,#N/A,
hsa-mir-940,0,1,hsa-miR-138-1,#N/A,
hsa-mir-369-5p,0,1,hsa-miR-138-1,#N/A,
hsa-mir-184,0,1,hsa-miR-138-2,hsa-miR-184,dbdemc
hsa-mir-95-5p,0,1,hsa-miR-206,#N/A,
hsa-mir-601,0,1,hsa-miR-206,hsa-miR-601,
hsa-mir-608,0,1,hsa-miR-206,hsa-miR-608,
hsa-mir-196a-1-3p,0,1,hsa-miR-206,#N/A,
hsa-mir-592,0,1,hsa-miR-207,#N/A,
hsa-mir-655-5p,0,1,hsa-miR-208,#N/A,
hsa-mir-510-5p,0,1,hsa-miR-20a,#N/A,
hsa-mir-582-5p,0,1,hsa-miR-20a,#N/A,
hsa-mir-512-5p,0,1,hsa-miR-20a,#N/A,
hsa-mir-203a-5p,0,1,hsa-miR-20a,#N/A,
hsa-mir-618,0,1,hsa-miR-20a,#N/A,
hsa-mir-135a-2-3p,0,1,hsa-miR-20a,#N/A,
hsa-mir-138-1-3p,0,1,hsa-miR-145,#N/A,
hsa-mir-138-2-3p,0,1,hsa-miR-145,#N/A,
hsa-mir-650,0,1,hsa-miR-145,#N/A,
hsa-mir-1228-5p,0,1,hsa-miR-145,#N/A,
hsa-mir-577,0,1,hsa-miR-148a,#N/A,
hsa-mir-616-5p,0,1,hsa-miR-15b,#N/A,
hsa-mir-182-5p,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-30e-5p,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-613,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-382-5p,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-103a-3p,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-135a-5p,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-216a-5p,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-181d-5p,0.1,0.9,hsa-miR-197,#N/A,
hsa-mir-425-5p,0.1,0.9,hsa-miR-198,#N/A,
hsa-mir-504-5p,0.1,0.9,hsa-miR-198,#N/A,
hsa-mir-708-5p,0.1,0.9,hsa-miR-198,#N/A,
hsa-mir-28-5p,0.1,0.9,hsa-miR-198,#N/A,
hsa-mir-1271-5p,0.1,0.9,hsa-miR-199a,#N/A,
hsa-mir-300,0.1,0.9,hsa-miR-199a,#N/A,
hsa-mir-411-5p,0.1,0.9,hsa-miR-199a,#N/A,
hsa-mir-148b-5p,0.1,0.9,hsa-miR-199a,#N/A,
hsa-mir-338-5p,0.1,0.9,hsa-miR-199a,#N/A,
hsa-mir-484,0.1,0.9,hsa-miR-199a,#N/A,
hsa-mir-500a-5p,0.1,0.9,hsa-miR-199a,#N/A,
hsa-mir-557,0.1,0.9,hsa-miR-199b,#N/A,
hsa-mir-596,0.1,0.9,hsa-miR-199b,hsa-miR-596,
hsa-mir-642a-5p,0.1,0.9,hsa-miR-21,#N/A,
hsa-mir-454-5p,0.1,0.9,hsa-miR-21,#N/A,
hsa-mir-29b-2-5p,0.1,0.9,hsa-miR-21,#N/A,
hsa-mir-103a-1-5p,0.1,0.9,hsa-miR-21,#N/A,
hsa-mir-103a-2-5p,0.1,0.9,hsa-miR-21,#N/A,
hsa-mir-671-5p,0.1,0.9,hsa-miR-210,#N/A,
hsa-mir-625-5p,0.1,0.9,hsa-miR-217,#N/A,
hsa-mir-508-5p,0.1,0.9,hsa-miR-221,#N/A,
hsa-mir-193b-5p,0.1,0.9,hsa-miR-25,#N/A,
hsa-mir-525-5p,0.1,0.9,hsa-miR-26a,#N/A,
hsa-mir-381-5p,0.1,0.9,hsa-miR-28,#N/A,
hsa-mir-520c-5p,0.1,0.9,hsa-miR-29b,#N/A,
hsa-mir-323a-5p,0.1,0.9,hsa-miR-29c,#N/A,
hsa-mir-1224-5p,0.1,0.9,hsa-miR-30a-3p,#N/A,
hsa-mir-302a-5p,0.1,0.9,hsa-miR-30b,#N/A,
hsa-mir-302d-5p,0.1,0.9,hsa-miR-30c-1,#N/A,
