hsa-mir-186-5p,0,1,hsa-let-7a,#N/A,hsa-miR-148a-3p,hsa-miR-186-5p
hsa-mir-539-5p,0,1,hsa-let-7d,#N/A,hsa-miR-199b-5p,hsa-miR-539-5p
hsa-mir-216a-5p,0,1,hsa-let-7f,#N/A,hsa-miR-99a-5p,hsa-miR-216a-5p
hsa-mir-330-5p,0,1,hsa-let-7i,#N/A,hsa-miR-100-5p,hsa-miR-330-5p
hsa-mir-154-5p,0,1,hsa-miR-101-1,#N/A,hsa-miR-150-5p,hsa-miR-154-5p
hsa-mir-543,0,1,hsa-miR-10b,#N/A,hsa-miR-224-5p,hsa-miR-543
hsa-mir-181d-5p,0,1,hsa-miR-122a,#N/A,hsa-miR-130a-3p,hsa-miR-181d-5p
hsa-mir-4262,0,1,hsa-miR-124a,#N/A,hsa-miR-195-5p,#N/A
hsa-mir-449b-5p,0,1,hsa-miR-125a,#N/A,hsa-miR-205-5p,hsa-miR-449b-5p
hsa-mir-384,0,1,hsa-miR-125b,#N/A,hsa-miR-200a-3p,hsa-miR-384
hsa-mir-211-5p,0,1,hsa-miR-126,#N/A,hsa-miR-27a-3p,hsa-miR-211-5p
hsa-mir-4458,0,1,hsa-miR-127,#N/A,hsa-miR-33a-5p,hsa-miR-4458
hsa-mir-504-5p,0,1,hsa-miR-128b,#N/A,hsa-miR-15a-5p,hsa-miR-504-5p
hsa-mir-28-5p,0,1,hsa-miR-136,#N/A,hsa-miR-106a-5p,hsa-miR-28-5p
hsa-mir-1271-5p,0,1,hsa-miR-141,#N/A,hsa-miR-221-3p,hsa-miR-1271-5p
hsa-mir-136-5p,0,1,hsa-miR-143,#N/A,hsa-miR-29c-3p,hsa-miR-136-5p
hsa-mir-300,0,1,hsa-miR-146b,#N/A,hsa-miR-200b-3p,hsa-miR-300
hsa-mir-99b-5p,0,1,hsa-miR-148a,#N/A,hsa-miR-147a,hsa-miR-99b-5p
hsa-mir-337-5p,0,1,hsa-miR-152,#N/A,hsa-miR-155-5p,hsa-miR-337-5p
hsa-mir-518b,0,1,hsa-miR-155,hsa-miR-518b,hsa-miR-214-3p,#N/A
hsa-mir-637,0,1,hsa-miR-170,hsa-miR-637,hsa-miR-187-3p,hsa-miR-637
hsa-mir-217-5p,0,1,hsa-miR-17-5p,#N/A,hsa-miR-18a-5p,#N/A
hsa-mir-517a-3p,0,1,hsa-miR-181a,#N/A,hsa-miR-152-3p,hsa-miR-517a-3p
hsa-mir-646,0,1,hsa-miR-182,#N/A,hsa-miR-192-5p,hsa-miR-646
hsa-mir-671-5p,0,1,hsa-miR-18a,#N/A,hsa-miR-105-5p,hsa-miR-671-5p
hsa-mir-508-5p,0,1,hsa-miR-193b,#N/A,hsa-miR-200c-3p,hsa-miR-508-5p
hsa-mir-525-5p,0,1,hsa-miR-195,#N/A,hsa-miR-126-3p,#N/A
hsa-mir-431-5p,0,1,hsa-miR-196a,#N/A,hsa-miR-26a-5p,hsa-miR-431-5p
hsa-mir-532-5p,0,1,hsa-miR-196a-2,#N/A,hsa-let-7c-5p,hsa-miR-532-5p
hsa-mir-483-5p,0,1,hsa-miR-200a,#N/A,hsa-miR-143-3p,hsa-miR-483-5p
hsa-mir-519a-5p,0,1,hsa-miR-200b,#N/A,hsa-miR-145-5p,#N/A
hsa-mir-581,0,1,hsa-miR-200c,#N/A,hsa-let-7a-5p,hsa-miR-581
hsa-mir-744-5p,0,1,hsa-miR-202,#N/A,hsa-miR-99a-5p,hsa-miR-744-5p
hsa-mir-362-5p,0,1,hsa-miR-203,#N/A,hsa-let-7g-5p,hsa-miR-362-5p
hsa-mir-432-5p,0,1,hsa-miR-204,#N/A,hsa-miR-26b-5p,hsa-miR-432-5p
hsa-mir-561-5p,0,1,hsa-miR-205,#N/A,hsa-let-7b-5p,#N/A
hsa-mir-513b-5p,0,1,hsa-miR-206,#N/A,hsa-miR-16-5p,hsa-miR-513b-5p
hsa-mir-513c-5p,0,1,hsa-miR-21,#N/A,hsa-miR-125b-5p,hsa-miR-513c-5p
hsa-mir-583,0,1,hsa-miR-210,#N/A,hsa-miR-182-5p,hsa-miR-583
hsa-mir-628-5p,0,1,hsa-miR-213,#N/A,hsa-let-7f-5p,hsa-miR-628-5p
hsa-mir-433-5p,0,1,hsa-miR-22,#N/A,hsa-miR-195-5p,#N/A
hsa-mir-885-5p,0,1,hsa-miR-221,#N/A,hsa-miR-22-3p,#N/A
hsa-mir-1973,0,1,hsa-miR-222,#N/A,hsa-miR-147a,#N/A
hsa-mir-498-5p,0,1,hsa-miR-26a,#N/A,hsa-miR-371a-3p,#N/A
hsa-mir-612,0,1,hsa-miR-27a,hsa-miR-612,hsa-miR-184,#N/A
hsa-mir-665,0,1,hsa-miR-31,#N/A,hsa-miR-373-3p,hsa-miR-665
hsa-mir-943,0,1,hsa-miR-31a,#N/A,hsa-miR-346,hsa-miR-943
hsa-mir-490-5p,0,1,hsa-miR-328,#N/A,unknown,hsa-miR-490-5p
