82.97,80.05,85.89,85.01,66.05,90.31
82.66,79.39,85.93,84.95,65.47,90.36
82.55,78.41,86.68,85.48,65.32,89.77
82.57,78.04,87.1,85.82,65.41,89.67
83.33,80.06,86.61,85.67,66.81,89.99
82.82,79.19,86.44,85.39,65.81,90.02
0.33,0.93,0.52,0.39,0.63,0.31
